coucode,indcode,hrisk,emp_needed,tele,emp_share
1,1,0.716494393217455,0.775757670266395,0.0763940587639809,0.0250573905924527
1,2,0.0247006384391888,0.0331321136833584,0.254480451345444,0.0190002416756561
1,3,0.592977542034293,0.764938120677608,0.224803254008293,0.0203793186668439
1,4,0.0760589690528174,0.0981156970099448,0.224803254008293,0.00289412288132343
1,5,0.0515620817086473,0.0665148324928585,0.224803254008293,0.0039797666814156
1,6,0.147169366697854,0.189847761176526,0.224803254008293,0.0124643777079454
1,7,0.135750418252277,0.175117373691516,0.224803254008293,0.000971507476982859
1,8,0.536887235763155,0.692581900710016,0.224803254008293,0.00426713058501946
1,9,0.115768180770502,0.149340385352624,0.224803254008293,0.00257438944443007
1,10,0.0758514908288283,0.0978480511186766,0.224803254008293,0.00259698068120503
1,11,0.0515414202328814,0.0664881792904646,0.224803254008293,0.0101952228469561
1,12,0.0987194277293329,0.127347577553414,0.224803254008293,0.00517137012563509
1,13,0.102741225825724,0.132535677370894,0.224803254008293,0.00404163969556791
1,14,0.0609804297883193,0.0786644553187684,0.224803254008293,0.00688400504189199
1,15,0.0641226498553449,0.0827179037926855,0.224803254008293,0.00806953919861971
1,16,0.372204806528549,0.590815706204341,0.370015382766724,0.0119512700279111
1,17,0.0461886895139599,0.0567149368723196,0.185599207878113,0.0877735299321664
1,18,0.124058212462123,0.144832262807519,0.14343523979187,0.0231744784437875
1,19,0.139273654445363,0.288681504639379,0.517552554607391,0.0306343071364621
1,20,0.246319306593338,0.287566472537916,0.14343523979187,0.0932104313855669
1,21,0.0468048367131114,0.0485208207451132,0.0353659316897392,0.0700824841458831
1,22,0.231191710045962,0.284069836984732,0.186144813895226,0.0243047146478123
1,23,0.111087642283701,0.13649558813452,0.186144813895226,0.000798448487807518
1,24,0.263623520642325,0.323919445551566,0.186144813895226,0.00451630855482088
1,25,0.145728591681689,0.179059609338077,0.186144813895226,0.012043573775182
1,26,0.161592164506464,0.571123125269118,0.717062473297119,0.0161173301170605
1,27,0.13956198308498,0.586468971889114,0.762030065059662,0.0330424655401451
1,28,0.0444386696538546,0.076369377944111,0.4181087911129,0.0143292505854544
1,29,0.0484537617189277,0.245655567060202,0.802757322788239,0.124749568132262
1,30,0.532459086964605,0.909838272286267,0.414776116609573,0.0620249149309277
1,31,0.00256109263525463,0.014758359481725,0.826464951038361,0.078681484382501
1,32,0.741338706947296,0.991786053077212,0.252521544694901,0.124429750399709
1,33,0.08667036853025,0.123373056838052,0.297493547201157,0.0417448965511021
1,34,0.0152676583730021,0.0222026850108652,0.312350809574127,0.0178437895214932
2,1,0.66985169821307,0.725257026082616,0.0763940587639809,0.0441631584002774
2,2,0.0921808386079002,0.123646440625547,0.254480451345444,0.00150170200703293
2,3,0.639404731003219,0.824828966722803,0.224803254008293,0.0192808229608128
2,4,0.00716231758218978,0.00923935454995628,0.224803254008293,0.0047581228959187
2,5,0.0362068953881327,0.0467067174563708,0.224803254008293,0.00763501847257461
2,6,0.0922667780852777,0.11902369116274,0.224803254008293,0.0133044706676131
2,7,0.0523747519653133,0.0675631731378212,0.224803254008293,0.000285815358592851
2,8,0.726398986961768,0.937051130203711,0.224803254008293,0.00752256652821021
2,9,0.0420115964981811,0.0541947534163547,0.224803254008293,0.00702590377393411
2,10,0.05084459771349,0.0655892816583546,0.224803254008293,0.00751319553284651
2,11,0.0275674141927148,0.0355618290908173,0.224803254008293,0.0258803464456986
2,12,0.0140550222480864,0.018130909760342,0.224803254008293,0.0186787365086951
2,13,0.0178478281631199,0.0230236107870747,0.224803254008293,0.0152231819683307
2,14,0.00359327196477866,0.00463530320961526,0.224803254008293,0.00892118758624244
2,15,0.0659004311026621,0.0850112328817323,0.224803254008293,0.0176010720418696
2,16,0.357480286234927,0.567442881073644,0.370015382766724,0.0119784748236496
2,17,0.0553181823688714,0.0679250105156973,0.185599207878113,0.0697272337524511
2,18,0.0532174903073043,0.0621289746899854,0.14343523979187,0.0191543145234029
2,19,0.118184237154377,0.24496810643945,0.517552554607391,0.0492398951385619
2,20,0.204102974164036,0.238280844187943,0.14343523979187,0.0875040119573901
2,21,0.033026280747585,0.0342371079692808,0.0353659316897392,0.0672040932507749
2,22,0.197838566522225,0.243088168386698,0.186144813895226,0.0285604511197168
2,23,0.0165523649654778,0.0203382189461736,0.186144813895226,0.000124165688569026
2,24,0.0865753303531241,0.106376824564436,0.186144813895226,0.00175237613301191
2,25,0.104371149064558,0.128242899776916,0.186144813895226,0.0122970886660154
2,26,0.196641717552668,0.695000482418035,0.717062473297119,0.00962401223851994
2,27,0.144828742260177,0.608601007923489,0.762030065059662,0.0305189891507301
2,28,0.0605690053468885,0.104089913065932,0.4181087911129,0.0139042143708899
2,29,0.0333405602473864,0.169033196662564,0.802757322788239,0.131149422863823
2,30,0.569907352307397,0.973827911816765,0.414776116609573,0.0590911540146516
