coucode,casecode,indcode,ecorisk,dCi
1,33,32,0.000332484754557827,-0
1,33,33,0.46636878212901,0.864007925014833
1,33,34,0.00239004558901634,-0
1,20,1,0.029157269820115,-0
1,20,2,0.0464593766525497,0.0141195221350736
1,20,3,0.01912623495974,-0
1,20,4,0.22619501197968,0.304537909601881
1,20,5,0.0461813971785029,0.121278275714293
1,20,6,0.234208294980321,0.478726152533439
1,20,7,0.251473185177606,0.650517689086829
1,20,8,0.0354584067056779,-0
1,20,9,0.153386894129249,0.321274335736887
1,20,10,0.0269671518149445,NaN
1,20,11,0.0639019804769905,0.0610613490613895
1,20,12,0.0998668952096634,0.136103380172676
1,20,13,0.190062394151131,0.353251601509208
1,20,14,0.245733526099065,0.29814861999249
1,20,15,0.228714000383317,0.358957425812106
1,20,16,0.0497349728423276,-0
1,20,17,0.0129806961079006,-0
1,20,18,0.426602312272979,0.839137891421289
1,20,19,0.179323132414432,0.273425157521204
1,20,20,0.402127266807139,0.482923215267404
1,20,21,0.011592353196775,-0
1,20,22,0.1549882725064,0.23104438692452
1,20,23,0.0525957080832445,-0
1,20,24,0.0733406084982965,-0
1,20,25,0.0607525296104985,-0
1,20,26,0.0566422278858508,-0
1,20,27,0.033433591683006,-0
1,20,28,0.0335723804634747,-0
1,20,29,0.055702631316374,-0
1,20,30,0.0108127890958262,-0
1,20,31,0.00315979125522081,-0
1,20,32,0.000863341483969715,-0
1,20,33,0.0366752359716758,-0
1,20,34,0.00560280294569848,-0
1,0,1,0.10610056831393,-0
1,0,2,0.0549950198606273,0.0141195221350736
1,0,3,0.145388144629004,-0
1,0,4,0.248824659787962,0.304537909601881
1,0,5,0.0654229981003418,0.121278275714293
1,0,6,0.289181846047252,0.478726152533439
1,0,7,0.286859697077627,0.650517689086829
1,0,8,0.0723343958877571,-0
1,0,9,0.187468122908562,0.321274335736887
1,0,10,0.0492397370342695,NaN
1,0,11,0.0824005570407997,0.0610613490613895
1,0,12,0.147434864491028,0.136103380172676
1,0,13,0.220542545310869,0.353251601509208
1,0,14,0.267181499510829,0.29814861999249
1,0,15,0.297670264620184,0.358957425812106
1,0,16,0.0928943490206225,-0
1,0,17,0.0237507286412566,-0
1,0,18,0.465213074375642,0.839137891421289
1,0,19,0.216950936456008,0.273425157521204
1,0,20,0.421144060798805,0.482923215267404
1,0,21,0.66210553463406,0.780845432651268
1,0,22,0.258322613303806,0.36997640328014
1,0,23,0.0810251282494344,-0
1,0,24,0.159673594914275,0.719426158078663
1,0,25,0.094655104626533,-0
1,0,26,0.0979874471488641,-0
1,0,27,0.0632460908920182,-0
1,0,28,0.0617361264986142,-0
1,0,29,0.107649237146986,-0
1,0,30,0.0186366903852853,-0
1,0,31,0.00624729035661042,-0
1,0,32,0.00163231754446469,-0
1,0,33,0.515722188886685,0.864007925014833
1,0,34,0.010080072718105,-0
2,21,1,0.0649903406927836,-0
2,21,2,0.0102166210524178,-0
2,21,3,0.0891812493275149,-0
2,21,4,0.00189902151630528,-0
2,21,5,0.00645400386091211,-0
2,21,6,0.0128470875068647,-0
2,21,7,0.0096400746133587,-0
2,21,8,0.00402512196580007,-0
2,21,9,0.00614278904761567,-0
2,21,10,0.00979220524467384,-0
2,21,11,0.00577025795998798,-0
2,21,12,0.00237957322711502,-0
2,21,13,0.00267316873194856,-0
2,21,14,0.000655106335348821,-0
2,21,15,0.00676406994891898,-0
2,21,16,0.0186929935546905,-0
2,21,17,0.0161710627162313,-0
2,21,18,0.00737800151320878,-0
2,21,19,0.0205849558250162,-0
2,21,20,0.0100402835662224,-0
2,21,21,0.675991365191594,0.79859482599505
2,21,22,0.00882191599263604,-0
2,21,23,0.00331771200456787,-0
2,21,24,0.0108105924006195,-0
2,21,25,0.0114914327797658,-0
2,21,26,0.015513325232981,-0
2,21,27,0.0207667437497615,-0
2,21,28,0.0222708582140517,-0
2,21,29,0.0196800697156427,-0
2,21,30,0.00141641636635348,-0
2,21,31,0.000988705939786283,-0
2,21,32,0.000386593176834427,-0
2,21,33,0.0132274456123227,-0
2,21,34,1.61581042990022e-08,-0
2,22,1,0.000398149859134445,-0
2,22,2,0.00235562818392077,-0
2,22,3,0.00038776626051662,-0
2,22,4,9.50135761901283e-05,-0
2,22,5,0.000466677924568892,-0
2,22,6,0.000730184604548878,-0
2,22,7,0.0030314991650604,-0
2,22,8,0.000224175545677663,-0
2,22,9,0.000467262936222235,-0
2,22,10,0.000828711000181892,-0
2,22,11,0.000462330036264946,-0
2,22,12,0.000356266840068398,-0
2,22,13,0.000482132523991985,-0
2,22,14,0.000154901126259821,-0
2,22,15,0.00181853548845123,-0
2,22,16,0.00206655700026992,-0
2,22,17,0.000976742273184894,-0
2,22,18,0.00396361687679025,-0
2,22,19,0.000902973475003566,-0
2,22,20,0.000369247936418127,-0
2,22,21,0.000458441169035817,-0
2,22,22,0.0659695464039867,0.108381494090889
2,22,23,0.000635707455204138,-0
2,22,24,0.0016661161964483,-0
2,22,25,0.00653731249027623,-0
2,22,26,0.00114176451846881,-0
2,22,27,0.00158551560333875,-0
2,22,28,0.00113789100624295,-0
2,22,29,0.00199803187982084,-0
2,22,30,0.00018369911529037,-0
2,22,31,0.000177410181546378,-0
2,22,32,2.62394337873229e-05,-0
2,22,33,0.000339475792678567,-0
2,22,34,1.17273224464753e-09,-0
2,24,1,0.00065546138723116,-0
2,24,2,0.0071871879568155,-0
2,24,3,0.000701014400188771,-0
2,24,4,0.000146063634420712,-0
2,24,5,0.000624450493608042,-0
2,24,6,0.00113839078221156,-0
2,24,7,0.00949725675835045,-0
2,24,8,0.000396544176559432,-0
2,24,9,0.000518762712110932,-0
