coucode,hrisk_tot,hrisk_tot_direct,emp_needed_tot,tele_tot
1,0.2506512222016,0.167627185441908,0.37993287168551,0.372277010777228
2,0.268165428983495,0.16462305697037,0.395658950693298,0.361829807160882
3,0.329188328374083,0.194118596880424,0.509878690812963,0.432718167354048
4,0.403546138740182,0.253675786385448,0.533702562421829,0.314683807747495
5,0.342937866453689,0.195536974380378,0.477074779702194,0.316506830199723
6,0.266410515762352,0.148576005949618,0.410620896310833,0.380902660526499
7,0.324602106715346,0.186666718916681,0.504246464819247,0.394723098174835
8,0.313413993032913,0.208230607098851,0.413172140670848,0.28696346270791
9,0.237268244515488,0.157594384372021,0.386180989994618,0.361997178501841
10,0.23814889611884,0.129925388597879,0.350457498433489,0.34586346512274
11,0.296393381691593,0.169592059534779,0.449557310599274,0.381731285390029
12,0.385491644212237,0.211091492468014,0.55069942181316,0.381609170130752
13,0.279947670671024,0.1491941915742,0.412607293840026,0.365912782375775
14,0.254549916603137,0.147039214227718,0.371270900561635,0.360517421290904
15,0.268565339154974,0.185914062834038,0.391018095296405,0.368146908559667
16,0.300875674186542,0.202715960012854,0.456752814924979,0.398310627635854
17,0.23403352147408,0.151644714590331,0.382102200258363,0.412363264099135
18,0.405772342460886,0.225521866822697,0.559097415041419,0.336107162992804
19,0.415795864202212,0.2255451593724,0.568712348858487,0.314581542101753
20,0.335750790925058,0.18695684290686,0.477969145140721,0.352319761832966
21,0.458210742148448,0.28799369183582,0.575196223109577,0.262589416161065
22,0.48443222224473,0.388618216376801,0.568156307436177,0.207820618800164
23,0.518464449081963,0.2201249761427,0.715618593956439,0.367878086131765
24,0.230263657321356,0.134761735172441,0.346852310178065,0.367952418495591
25,0.285558997133837,0.176945941122219,0.41881955252736,0.336296988224752
26,0.248955219689979,0.139568035194516,0.366298501651818,0.356884160282254
27,0.370633533167121,0.201136883272738,0.50398039002952,0.34567054642471
28,0.250526087534172,0.162522333214657,0.478889416047979,0.432801182045184
29,0.293387383351921,0.158776324791595,0.420300619106157,0.361771837248639
30,0.351702227864533,0.250848213066452,0.455277624783105,0.276349995139985
31,0.250423584811539,0.14992863047951,0.445192997103731,0.413913039340492
32,0.366273381832334,0.189499349852233,0.534560768531898,0.420606469124013
33,0.343809530960333,0.231938574009995,0.489269067870153,0.36321904202418
34,0.329765496627778,0.211154174705833,0.456551256952052,0.332811567873541
35,0.295116785378966,0.194880004417283,0.420037990547475,0.338453857600328
36,0.48718438392377,0.324543475170764,0.607724123147394,0.248360536671386
37,0.38896136791222,0.233266748946237,0.502767091470811,0.30622943545716
38,0.229784179054721,0.134748930949594,0.349933676186452,0.365038104308617
39,0.296354668238902,0.184351173977353,0.436897613839352,0.370531247780087
40,0.247053241940826,0.176678394577986,0.361826400735172,0.395893949692186
41,0.382214860908317,0.263348212810214,0.493317787075964,0.264115089085514
42,0.209987466133642,0.1281752706177,0.305172490433057,0.362929389575837
43,0.310422458381484,0.211584980086075,0.505034378673469,0.379513485451224
