coucode,casecode,dGDP,ecorisk_tot,ecorisk_tot_direct
7,20,0.0655498002652375,0.0526091145529258,0.0304094742801734
7,0,0.116486007940727,0.123961817656793,0.0922409079004691
8,21,0.03173271175121,0.0249761827138031,0.0102871335382664
8,22,0.00173772742201504,0.00112797956911082,0.000608044974252333
8,24,0.000950063089719439,0.000204602351367536,6.61700280473539e-05
8,33,0.0251524121493536,0.0431379926736168,0.0364541994199893
8,20,0.0459813160861166,0.0425876871114423,0.0021815367226101
8,0,0.105554230498415,0.11203444441934,0.0556125558857436
9,21,0.0327274657879889,0.104064173633286,0.0817047011600829
9,22,0.00118468201036324,0.000793674654726152,0.000683134435712146
9,24,0.00120772367917069,0.00119139800010022,0.00051630109624318
9,33,0.0214881478303794,0.0299155778476658,0.0252128595153427
9,20,0.0861188732037754,0.0422890108640611,0.0198636501774905
9,0,0.142726892511678,0.178253834999839,0.13508600326547
10,21,0.0314194878376252,0.0356817926855044,0.0274196330581548
10,22,0.00109857582670025,0.00277237396377446,0.00190661183105194
10,24,0.000926036761939502,0.000263201623604589,4.34028646062472e-05
10,33,0.0246750873162416,0.0290675805715446,0.023405677638671
10,20,0.0585160135040559,0.0420589312364158,0.0161428120357878
10,0,0.116635201246563,0.109843880080844,0.0764694767925919
11,21,0.029771299041107,0.0409447383026445,0.0325773076737076
11,22,0.00246767499513095,0.00193192492755365,0.00133440854464681
11,24,0.00440387814580973,0.00245528270877507,0.000775360089559406
11,33,0.0254832693900321,0.0412880190228008,0.0356683320104424
11,20,0.0750676149636843,0.0691004781212754,0.0332317558502582
11,0,0.137193736535764,0.155720443083049,0.11141990736486
12,21,0.0318814866067834,0.0328517657142105,0.0271132625629461
12,22,0.00109292434407914,0.00106624144859786,0.000840793568530053
12,24,0.000131732193979941,6.86970676922411e-05,2.71819779961935e-05
12,33,0.0240771631322397,0.0370893288742819,0.0307702998207573
12,20,0.0560969993303544,0.0603764686012944,0.0408071567221199
12,0,0.113280305607437,0.131452501706077,0.105208423502698
13,21,0.0311556263937657,0.0825884987868718,0.0586848608419187
13,22,0.00169929253883905,0.00256467626541393,0.0017105141131925
13,24,0.00192614312876733,0.00106130633950457,0.000375430860341278
13,33,0.0250856272680629,0.0433814254672789,0.0365633446514279
13,20,0.0728251520027955,0.0869055296215552,0.0517767071540487
13,0,0.13269184133223,0.216501436480624,0.159837626422424
14,21,0.0319990234385651,0.0395022728716834,0.0305500885310335
14,22,0.00104578364510176,0.00183761722937959,0.00131251415598512
14,24,0.000686937829774496,0.000148889450822034,2.05669204836267e-05
14,33,0.0239441235288766,0.0392006396414731,0.0329390687399682
14,20,0.0525162918621103,0.0441804385839773,0.0221710648422929
14,0,0.110192160304428,0.124869857777336,0.0956706526833741
15,21,0.0318706464454871,0.0289945373750682,0.0206120850870482
15,22,0.00185810239917668,0.00205937732746582,0.00149471156247955
15,24,0.00065111805159822,0.000409010228665422,0.000101343652859429
15,33,0.0257830053661908,0.0490294443703784,0.0373607057238851
15,20,0.0642639798085717,0.060499848445738,0.0338215035085403
15,0,0.124426852071024,0.140992217747316,0.102520345474049
16,21,0.0329956286968101,0.0372998651458308,0.0277988886244308
16,22,0.00175802839384812,0.00273641203527789,0.00218162768573293
16,24,0.0023959122470272,0.0014490276332688,0.000786639266637703
16,33,0.0242261764394079,0.0421493240659997,0.0357472108379495
16,20,0.0714188083171518,0.074830602135269,0.0449738326718581
16,0,0.132794554094245,0.158465231015646,0.120512666026221
17,21,0.0296259899916459,0.0567751780475184,0.0446349791532947
17,22,0.00267885177396327,0.00332404902018479,0.00211582162251334
17,24,0.00427730170346583,0.00316884940777191,0.00123288602684335
17,33,0.0228170212289034,0.0408486453269933,0.0331239847415499
17,20,0.0818260401223464,0.0925763477575414,0.0518415596719695
17,0,0.141225204820325,0.19669306956001,0.141753368879104
18,21,0.0327446834697753,0.1045682597948,0.0630425053934484
18,22,0.00284080660529591,0.00591746455960733,0.00426205004639882
18,24,0.00480143894482691,0.00357254743311675,0.000810192433752278
18,33,0.0259147440209385,0.0565528529046408,0.0444564605228915
18,20,0.0905546434907942,0.0586177056299501,0.01825701843392
18,0,0.156856316531631,0.229228830322115,0.157092868508931
19,21,0.0328472915535662,0.0619196047341987,0.0498771550415564
19,22,0.00110047457406845,0.00366217474161756,0.00245515602380852
19,24,0.000514621091525406,0.000225803771007262,9.92175066285419e-05
19,33,0.0223409096123269,0.0335534985102216,0.02621806501977
19,20,0.0619226364691101,0.0449624540429231,0.015259918831444
19,0,0.118725933300597,0.144323535799968,0.103349047027039
20,21,0.0314430183229799,0.0370317857419364,0.0274232061506773
20,22,0.0010728751272798,0.00270637742653082,0.00195898939052443
20,24,0.000234114912069225,9.31274926173295e-05,3.61816788844749e-05
20,33,0.0251792593769588,0.0362302315372677,0.0295464037351874
20,20,0.051204159263416,0.059654876336735,0.0412394986656178
20,0,0.109133427002704,0.135716398535087,0.107548135255427
21,21,0.0305454194856269,0.0705756011241632,0.0422375812106959
21,22,0.00271403416536891,0.00473620867356339,0.0037541559543324
21,24,0.00576927553813388,0.00676757546967511,0.00122176015335312
21,33,0.0254062103208489,0.0173407288961365,0.0151284423354763
21,20,0.0897576644653243,0.0702558878900823,0.0267590256973947
21,0,0.154192603975303,0.16967600205362,0.102810707104297
22,21,0.0329956325452985,0.0294348742486191,0.00911008365697942
22,22,0.00264732407605874,0.00938425470993203,0.00500965667053017
22,24,0.00311348751056577,0.000657447721696752,0.000478587008631765
22,33,0.020580249259799,0.00967112308171975,0.00854053246783513
22,20,0.101308333518108,0.095642474646304,0.0206263414949885
22,0,0.16064502690983,0.144790174408272,0.0600408782004978
23,21,0.0234902415014857,0.0451756784115612,0.0434489122987703
23,22,0.00266618821134581,0.00486402890119775,0.00398700868312631
23,24,0.00101965237308369,0.00160726257087479,0.000796276588385658
23,33,0.0217632812214916,0.0280435930869019,0.0266222351219792
23,20,0.0723976676178539,0.055036923271993,0.0390497497754927
23,0,0.121337030925261,0.134727486242528,0.122203509994206
24,21,0.0329209993488879,0.0584320589750605,0.0423928981657237
24,22,0.00243955819169232,0.00287192949126274,0.00190775622562876
24,24,0.004201440872484,0.00155163913205167,0.000302129346624713
24,33,0.0252344322730246,0.0381651188525648,0.0283739727839359
24,20,0.0928847023439898,0.0912485607771674,0.0407085225418452
24,0,0.157681133030079,0.192269307228107,0.123601665927965
25,21,0.0323084065906014,0.0624243650027475,0.0414286115092272
25,22,0.00234365028638873,0.00489238444123248,0.00386970393135043
25,24,0.00514500191204111,0.00114213422700819,0.000294449597108267
25,33,0.026072612062985,0.0526347587426185,0.0434194414855967
25,20,0.0932945044127135,0.0775673615698878,0.0381606580579789
25,0,0.15916417526473,0.198661003983495,0.142805075404679
26,21,0.0304169593519822,0.0448116630064854,0.0337471659967409
26,22,0.00281246545171243,0.00494705379528187,0.0038875752664753
26,24,0.000277362691276557,0.000112996612401429,3.73272215106524e-05
26,33,0.0253946021886034,0.0479205594781556,0.0381596742073305
26,20,0.0625768323851964,0.0604920579650165,0.0135356605140669
26,0,0.121478222068771,0.158284330857341,0.105441881364851
27,21,0.0240717562349084,0.0159542453227459,0.014498901754294
27,22,0.000470116034795378,0.00222173663807259,0.00177443041420606
27,24,0.00146366723848449,0.000211971883651788,4.56451490383756e-05
27,33,0.0177083580848098,0.0250911520899766,0.021872453746251
27,20,0.089572631832882,0.0827616453016947,0.0526179549705353
27,0,0.13328652942588,0.126240751236141,0.0961666592446418
28,21,0.0312222779356925,0.0326138381523916,0.0293800886248397
28,22,0.000649116238608498,0.00183095030016955,0.00168511575785873
28,24,7.0421834773454e-05,9.37052468129308e-06,5.00612330883045e-06
28,33,0.0129558610218893,0.0100128168522081,0.00939202419843583
28,20,0.0154813710664393,0.013438666753202,0.00642010939973261
28,0,0.060379048097403,0.0579056425826526,0.0502685591099711
29,21,0.0325619418917916,0.028043650506202,0.0218570192508859
29,22,0.000528226215627094,0.00202714103501848,0.00123330946384543
29,24,0.00107327320954933,0.00105487826195689,0.000201293826919103
29,33,0.025584108768,0.0613821694120731,0.0532100592440204
29,20,0.0531064663602038,0.0544170769827891,0.0321339624253246
29,0,0.112854016445172,0.14692491619804,0.115139117051577
30,21,0.0329956325452985,0.0340617952089002,0.0303310657560548
30,22,0.00242653030183408,0.0104614096872488,0.00876594742644346
30,24,0.00533792202575362,0.0017475693105931,0.000623371250492272
30,33,0.0262383645367884,0.0175824457380912,0.0161767971153613
30,20,0.0834745897611968,0.0839975514551935,0.0259852473725311
30,0,0.150473039170871,0.147850771400027,0.0993283441097728
31,21,0.0316248429566393,0.076491379865403,0.0488714261289484
31,22,0.000926133588988872,0.000709823495641937,0.000621724720267453
31,24,0.000220296689566256,0.000272219840935971,0.000179568343863111
31,33,0.00318049891603556,0.0105272178512432,0.00509624043146552
31,20,0.0470781405837459,0.0306972197476661,0.00980617510223373
31,0,0.0830299127349758,0.11869786080089,0.0685693005451776
32,21,0.032577387337263,0.0348599662209266,0.0297427150265623
32,22,0.000556459342678369,0.000909218204951347,0.000675524952592009
32,24,0.00055793273550632,0.000460555924454173,0.000200347276612728
32,33,0.0244676125362977,0.0320335359207294,0.0273104058049417
32,20,0.0561551247513447,0.0647244301930592,0.0457751836280423
32,0,0.11431451670309,0.132987706464121,0.107395744590935
33,21,0.0318349186377925,0.0287170218534334,0.02302988234332
33,22,0.00178708435941765,0.00293791865239026,0.00228757667599423
33,24,0.00223286558499403,0.00104364069471352,0.000440839097573692
33,33,0.0248093162970135,0.0308113075736045,0.0235624982181034
33,20,0.0792481432018323,0.04543833082154,0.0194741369531075
33,0,0.13991232808105,0.108948219595682,0.0774069229699652
34,21,0.0326043612520059,0.0205975243809328,0.0146397746477779
34,22,0.00134364522474035,0.00289198369166832,0.00211448113714282
34,24,0.000261113999394803,8.93421005519449e-05,4.16220006520895e-05
34,33,0.0241697289152468,0.0242873748187717,0.0191759750671575
34,20,0.0616760318375927,0.0668572732304002,0.0273106413992984
34,0,0.120054881228981,0.114723498222325,0.072033339858408
35,21,0.0309963735405712,0.0661189129152961,0.0462508938328964
35,22,0.0014800459453055,0.00205512521798583,0.00151689608773744
35,24,0.000624962570107705,0.00081928009919845,0.000206832838333379
35,33,0.0252084626275655,0.0310746150443326,0.0243344065196203
35,20,0.0698157889294605,0.0877536100181277,0.0439197382981787
35,0,0.12812563361301,0.187821543294941,0.124507285056818
36,21,0.0179751753024204,0.00774607879452166,0.00454106947214247
36,22,0.00151818332139278,0.0077134343181351,0.00380205268402786
36,24,0.00162895956054901,0.000528259211863288,0.000119712459793716
36,33,0.0164371441410073,0.00994496008212436,0.00614931122658473
36,20,0.0612135994130884,0.0700067221012945,0.0213109989002171
36,0,0.0987730617384579,0.0959394545079389,0.0464295245267761
37,21,0.0327505073970619,0.013259345406777,0.00942338868186486
37,22,0.000717855971370386,0.00252585126065342,0.00170258564030938
37,24,0.00487851815954451,0.00189348932905961,0.000249405442679665
37,33,0.0262228821337302,0.0213477992900844,0.0169124357321116
37,20,0.095564646838203,0.0879693035604211,0.0420568132793563
37,0,0.16013441049991,0.126995788846995,0.0795997415659943
38,21,0.0278603808714502,0.0278499238434864,0.0245898425309807
38,22,0.00164596012275062,0.00409085150200763,0.00310188703237795
38,24,0.00256779674192911,0.000193584438942665,5.6417114223677e-05
38,33,0.0198427790938166,0.0154010330268497,0.0119109952701431
38,20,0.038028474514217,0.0412497906192424,0.00991354662171248
38,0,0.0899453913441635,0.0887851834305287,0.0574108112127503
39,21,0.0312759138800555,0.0333335781234972,0.0244535206798354
39,22,0.000388527043980591,0.00110871934445615,0.000700931423173525
39,24,0.000555972578596653,0.000164309883816158,3.83384850507375e-05
39,33,0.021916546586884,0.0277691395639975,0.0208650571435874
39,20,0.0332468670990121,0.0421516066963715,0.0114157164512874
39,0,0.0873838271885289,0.104527353612138,0.0621705230846921
40,21,0.0326538397945777,0.0257905816476804,0.0199714611923004
40,22,0.00243567933636387,0.00254963652983361,0.00183323786556837
40,24,0.000786772087436454,0.00029346458049422,0.000129304432469042
40,33,0.0252706355656785,0.0397680678078942,0.0318630329585621
40,20,0.052408787560425,0.047363819381091,0.0178310615114613
40,0,0.113555714344482,0.115765569946993,0.0799377002993935
41,21,0.03281554636239,0.0599491063438118,0.0402640038017449
41,22,0.00234076012629728,0.0065473845672203,0.00401733865346847
41,24,0.00474168934243053,0.00237306786075685,0.000629268932163956
41,33,0.0257511404778079,0.023277422801225,0.0204481233950495
41,20,0.0677338633484807,0.0741511072271448,0.0223700942131393
41,0,0.133382999657406,0.166298088800159,0.102433610035031
42,21,0.0255452933679275,0.0576937391818358,0.0470576792454601
42,22,0.00180317333620183,0.00205892058006371,0.00169156790413459
42,24,0.00191623445375479,0.00168170907193484,0.000636090066148877
42,33,0.0247992292705564,0.0474847682338577,0.0413807955967992
42,20,0.0680127590108759,0.0541714991026905,0.0235241517376911
42,0,0.122076689439316,0.163090636170382,0.121905340960977
43,21,0.0328105564098549,0.0699572186867465,0.0579447206065403
43,22,0.00183419435217886,0.00169975065984195,0.00107795503663484
43,24,0.00380210997787849,0.00241242864925261,0.00107937900031414
43,33,0.0257788906800185,0.0355000797119064,0.0281071178540223
43,20,0.0946451800663518,0.0974616172637166,0.0510977740318043
43,0,0.158870931486283,0.207031094971464,0.147094716955616
